Frequency (Hz)	Level (dB)
20	-90
40	-85
60	-80
90	-52
89	-55.1
86.132812	-59.216908
172.265625	-65.859695
258.398438	-74.404083
344.531250	-77.817413
430.664062	-77.465584
516.796875	-79.283218
602.929688	-81.674103
689.062500	-83.711845
775.195312	-85.776085
861.328125	-88.033264
947.460938	-89.932556
1033.593750	-90

